id,name,grade,enhancement,maximum,minimum,price,count
719902,Blackstar Armor,1,0,253000000,219000000,236000000,0
719902,Blackstar Armor,1,6,253000000,219000000,236000000,0
719902,Blackstar Armor,1,10,423000000,365000000,394000000,0
719902,Blackstar Armor,1,13,660000000,570000000,615000000,0
719902,Blackstar Armor,1,14,700000000,610000000,655000000,0
719902,Blackstar Armor,1,15,860000000,740000000,800000000,0
719902,Blackstar Armor,1,16,1850000000,1610000000,1730000000,0
719902,Blackstar Armor,1,17,1850000000,1610000000,1730000000,0
719902,Blackstar Armor,1,18,4820000000,4160000000,4490000000,1
719902,Blackstar Armor,1,19,13800000000,12000000000,12900000000,0
719902,Blackstar Armor,1,20,23500000000,20300000000,21900000000,0
10005,Azwell Longsword,1,0,18800,17500,17500,7
10005,Azwell Longsword,1,8,4970000,4600000,4970000,0
10005,Azwell Longsword,1,11,6650000,5750000,6200000,0
10005,Azwell Longsword,1,13,8450000,7350000,7900000,0
10005,Azwell Longsword,1,16,46000000,39600000,42800000,0
10005,Azwell Longsword,1,17,46000000,39600000,42800000,0
10005,Azwell Longsword,1,18,121000000,105000000,113000000,0
10005,Azwell Longsword,1,19,354000000,306000000,330000000,0
10005,Azwell Longsword,1,20,810000000,700000000,755000000,0
10006,Ain Longsword,1,0,247000,213000,230000,0
10006,Ain Longsword,1,8,3270000,2830000,3050000,1
10006,Ain Longsword,1,11,3690000,3190000,3440000,0
10006,Ain Longsword,1,13,3880000,3340000,3610000,0
10006,Ain Longsword,1,16,14700000,12700000,13700000,0
10006,Ain Longsword,1,17,76000000,66000000,71000000,10
10006,Ain Longsword,1,18,103000000,89500000,96500000,0
10006,Ain Longsword,1,19,328000000,284000000,306000000,0
10006,Ain Longsword,1,20,740000000,640000000,690000000,0
10007,Seleth Longsword,1,0,211000,183000,197000,3
10007,Seleth Longsword,1,8,2090000,1810000,1950000,1
10007,Seleth Longsword,1,11,2540000,2200000,2370000,0
10007,Seleth Longsword,1,13,2600000,2420000,2420000,0
10007,Seleth Longsword,1,16,13000000,11200000,12100000,0
10007,Seleth Longsword,1,17,110000000,95500000,103000000,17
10007,Seleth Longsword,1,18,162000000,140000000,151000000,0
10007,Seleth Longsword,1,19,378000000,326000000,352000000,0
10007,Seleth Longsword,1,20,895000000,775000000,835000000,0
10009,Liverto Longsword,2,0,2400000,2080000,2240000,0
10009,Liverto Longsword,2,8,6850000,5950000,6400000,0
10009,Liverto Longsword,2,11,7950000,6850000,7400000,0
10009,Liverto Longsword,2,13,8050000,6950000,7500000,0
10009,Liverto Longsword,2,14,8100000,7000000,7550000,0
10009,Liverto Longsword,2,15,10500000,9100000,9800000,0
10009,Liverto Longsword,2,16,47400000,40800000,44100000,0
10009,Liverto Longsword,2,17,58500000,50500000,54500000,1
10009,Liverto Longsword,2,18,135000000,117000000,126000000,1
10009,Liverto Longsword,2,19,535000000,463000000,500000000,0
10009,Liverto Longsword,2,20,3560000000,3080000000,3320000000,0
10010,Kzarka Longsword,3,0,131000000,113000000,122000000,2
10010,Kzarka Longsword,3,8,141000000,123000000,132000000,0
10010,Kzarka Longsword,3,11,146000000,126000000,136000000,0
10010,Kzarka Longsword,3,13,169000000,147000000,158000000,0
10010,Kzarka Longsword,3,14,180000000,156000000,168000000,0
10010,Kzarka Longsword,3,15,219000000,189000000,204000000,0
10010,Kzarka Longsword,3,16,409000000,353000000,381000000,1
10010,Kzarka Longsword,3,17,451000000,389000000,420000000,2
10010,Kzarka Longsword,3,18,447000000,385000000,416000000,0
10010,Kzarka Longsword,3,19,1370000000,1190000000,1280000000,0
10010,Kzarka Longsword,3,20,17300000000,14900000000,16100000000,1
10012,Kalis Longsword,1,0,154000,134000,144000,16
10012,Kalis Longsword,1,8,2020000,1740000,1880000,2
10012,Kalis Longsword,1,11,2600000,2240000,2420000,1
10012,Kalis Longsword,1,13,2610000,2420000,2430000,0
10012,Kalis Longsword,1,16,12900000,11100000,12000000,0
10012,Kalis Longsword,1,17,133000000,115000000,124000000,1
10012,Kalis Longsword,1,18,137000000,119000000,128000000,0
10012,Kalis Longsword,1,19,354000000,306000000,330000000,0
10012,Kalis Longsword,1,20,740000000,640000000,690000000,0
10013,Bares Longsword,1,0,40900,35300,38100,2
10013,Bares Longsword,1,8,1690000,1470000,1580000,0
10013,Bares Longsword,1,11,2530000,2190000,2360000,0
10013,Bares Longsword,1,13,4980000,4300000,4640000,0
10013,Bares Longsword,1,16,23700000,20500000,22100000,0
10013,Bares Longsword,1,17,88500000,76500000,82500000,0
10013,Bares Longsword,1,18,141000000,123000000,132000000,0
10013,Bares Longsword,1,19,342000000,296000000,319000000,0
10013,Bares Longsword,1,20,780000000,680000000,730000000,0
10014,Yuria Longsword,1,0,54000,46800,50500,0
10014,Yuria Longsword,1,8,1910000,1650000,1780000,8
10014,Yuria Longsword,1,11,2850000,2470000,2660000,0
10014,Yuria Longsword,1,13,5600000,4860000,5250000,0
10014,Yuria Longsword,1,16,74000000,64000000,69000000,8
10014,Yuria Longsword,1,17,95500000,82500000,89000000,0
10014,Yuria Longsword,1,18,103000000,89000000,96000000,0
10014,Yuria Longsword,1,19,353000000,305000000,329000000,0
10014,Yuria Longsword,1,20,795000000,685000000,740000000,0
10056,Krea Longsword,1,0,37100,34200,34600,68
10056,Krea Longsword,1,8,1910000,1650000,1780000,5
10056,Krea Longsword,1,11,2890000,2490000,2690000,0
10056,Krea Longsword,1,13,5450000,4720000,5100000,0
10056,Krea Longsword,1,16,32400000,28000000,30200000,1
