id,name,grade,enhancement,maximum,minimum,price,count,totalTradeCount
719902,Blackstar Armor,1,0,337000000,291000000,314000000,0,6
719902,Blackstar Armor,1,6,337000000,291000000,314000000,0,0
719902,Blackstar Armor,1,10,615000000,535000000,575000000,0,5
719902,Blackstar Armor,1,13,895000000,775000000,835000000,0,1
719902,Blackstar Armor,1,14,940000000,810000000,875000000,0,0
719902,Blackstar Armor,1,15,1960000000,1700000000,1830000000,0,4
719902,Blackstar Armor,1,16,2320000000,2040000000,2200000000,0,30
719902,Blackstar Armor,1,17,2360000000,2040000000,2200000000,0,11
719902,Blackstar Armor,1,18,4240000000,3660000000,3950000000,13,223
719902,Blackstar Armor,1,19,18100000000,15700000000,16900000000,0,10
719902,Blackstar Armor,1,20,34200000000,29600000000,31900000000,0,0
10005,Azwell Longsword,1,0,19300,17500,18000,5,200056
10005,Azwell Longsword,1,8,3650000,3150000,3400000,0,23679
10005,Azwell Longsword,1,11,6850000,5950000,6400000,0,370
10005,Azwell Longsword,1,13,11800000,10200000,11000000,0,1725
10005,Azwell Longsword,1,16,29300000,25300000,27300000,0,322
10005,Azwell Longsword,1,17,37000000,32000000,34500000,0,179
10005,Azwell Longsword,1,18,84500000,73500000,79000000,0,12
10005,Azwell Longsword,1,19,344000000,296000000,320000000,0,3
10005,Azwell Longsword,1,20,740000000,640000000,690000000,0,0
10006,Ain Longsword,1,0,405000,375000,405000,0,89512
10006,Ain Longsword,1,8,2610000,2250000,2430000,0,54
10006,Ain Longsword,1,11,6050000,5250000,5650000,0,12
10006,Ain Longsword,1,13,12000000,10400000,11200000,0,47
10006,Ain Longsword,1,16,38900000,33500000,36200000,0,0
10006,Ain Longsword,1,17,65000000,56000000,60500000,0,27
10006,Ain Longsword,1,18,138000000,120000000,129000000,0,1
10006,Ain Longsword,1,19,344000000,296000000,320000000,0,0
10006,Ain Longsword,1,20,740000000,640000000,690000000,0,0
10007,Seleth Longsword,1,0,211000,183000,197000,0,296107
10007,Seleth Longsword,1,8,1960000,1700000,1830000,0,376
10007,Seleth Longsword,1,11,2840000,2460000,2650000,0,160
10007,Seleth Longsword,1,13,4990000,4310000,4650000,0,722
10007,Seleth Longsword,1,16,35100000,30300000,32700000,0,89
10007,Seleth Longsword,1,17,45400000,39200000,42300000,0,30
10007,Seleth Longsword,1,18,118000000,102000000,110000000,0,20
10007,Seleth Longsword,1,19,344000000,296000000,320000000,0,7
10007,Seleth Longsword,1,20,725000000,625000000,675000000,0,0
10009,Liverto Longsword,2,0,2030000,1750000,1890000,5,64299
10009,Liverto Longsword,2,8,7550000,6550000,7050000,0,2092
10009,Liverto Longsword,2,11,7950000,6850000,7400000,0,1059
10009,Liverto Longsword,2,13,8050000,6950000,7500000,0,474
10009,Liverto Longsword,2,14,8050000,6950000,7500000,0,378
10009,Liverto Longsword,2,15,9500000,8200000,8850000,0,10942
10009,Liverto Longsword,2,16,39700000,34300000,37000000,1,4470
10009,Liverto Longsword,2,17,51000000,44300000,47800000,1,7260
10009,Liverto Longsword,2,18,137000000,119000000,128000000,1,7257
10009,Liverto Longsword,2,19,474000000,408000000,441000000,0,419
10009,Liverto Longsword,2,20,4250000000,3670000000,3960000000,0,7
10010,Kzarka Longsword,3,0,111000000,96500000,104000000,8,13796
10010,Kzarka Longsword,3,8,115000000,99000000,107000000,0,1103
10010,Kzarka Longsword,3,11,154000000,134000000,144000000,2,880
10010,Kzarka Longsword,3,13,161000000,139000000,150000000,0,505
10010,Kzarka Longsword,3,14,242000000,210000000,226000000,0,346
10010,Kzarka Longsword,3,15,308000000,266000000,287000000,0,190
10010,Kzarka Longsword,3,16,451000000,389000000,420000000,0,2333
10010,Kzarka Longsword,3,17,478000000,412000000,445000000,0,2629
10010,Kzarka Longsword,3,18,535000000,461000000,498000000,0,8031
10010,Kzarka Longsword,3,19,1580000000,1360000000,1470000000,0,4316
10010,Kzarka Longsword,3,20,18900000000,16300000000,17600000000,0,141
10012,Kalis Longsword,1,0,183000,159000,171000,24,590141
10012,Kalis Longsword,1,8,1950000,1690000,1820000,36,3952
10012,Kalis Longsword,1,11,2800000,2420000,2610000,1,1734
10012,Kalis Longsword,1,13,4850000,4190000,4520000,0,4452
10012,Kalis Longsword,1,16,27500000,23700000,25600000,0,376
10012,Kalis Longsword,1,17,49500000,42700000,46100000,0,234
10012,Kalis Longsword,1,18,96000000,83000000,89500000,0,68
10012,Kalis Longsword,1,19,333000000,287000000,310000000,0,5
10012,Kalis Longsword,1,20,740000000,640000000,690000000,0,0
10013,Bares Longsword,1,0,99000,86000,92500,8,740614
10013,Bares Longsword,1,8,1510000,1310000,1410000,9,12524
10013,Bares Longsword,1,11,2390000,2070000,2230000,2,2477
10013,Bares Longsword,1,13,3460000,2980000,3220000,0,7005
10013,Bares Longsword,1,16,30200000,26000000,28100000,0,915
10013,Bares Longsword,1,17,51500000,44700000,48300000,0,617
10013,Bares Longsword,1,18,102000000,88500000,95500000,1,220
10013,Bares Longsword,1,19,365000000,315000000,340000000,0,14
10013,Bares Longsword,1,20,740000000,640000000,690000000,0,0
10014,Yuria Longsword,1,0,73500,63500,68500,9,1219384
10014,Yuria Longsword,1,8,1590000,1370000,1480000,12,9829
10014,Yuria Longsword,1,11,2540000,2200000,2370000,2,4409
10014,Yuria Longsword,1,13,4320000,3720000,4020000,2,17093
10014,Yuria Longsword,1,16,27800000,24000000,25900000,0,2289
10014,Yuria Longsword,1,17,46200000,39800000,43000000,0,1574
10014,Yuria Longsword,1,18,117000000,101000000,109000000,1,510
10014,Yuria Longsword,1,19,353000000,305000000,329000000,0,46
10014,Yuria Longsword,1,20,890000000,770000000,830000000,0,0
10056,Krea Longsword,1,0,36700,34200,34200,35,781066
10056,Krea Longsword,1,8,1880000,1620000,1750000,16,5241
10056,Krea Longsword,1,11,2790000,2410000,2600000,0,2861
